berg, borg, borgen, geborgen
bijt, beet, beten, gebeten
bind, bond, bonden, gebonden
blaas, blies, bliezen, geblazen
bleit, bleet, bleten, gebleten
blijk, bleek, bleken, gebleken
blijf, bleef, bleven, gebleven
blink, blonk, blonken, geblonken
brei, bree, breeen, gebreeen
breek, brak, braken, gebroken
breng, bracht, brachten, gebracht
buig, boog, bogen, gebogen
delf, dolf, dolven, gedolven
denk, dacht, dachten, gedacht
bederf, bedierf, bedierven, bedorven
verderf, verdierf, verdierven, verdorven
ding, dong, dongen, gedongen
doe, deed, deden, gedaan
draag, droeg, droegen, gedragen
bedrieg, bedroog, berogen, bedrogen
verdriet, verdroot, verdroten, verdroten
drijf, dreef, dreven, gedreven
dring, drong, drongen, gedrongen
drink, dronk, dronken, gedronken
druip, droop, dropen, gedropen
duik, dook, doken, gedoken
durf, dorst, dorsten
verdwijn, verdween, verdwenen
dwing, dwong, dwongen, gedwongen
erf, orf, orven, georven
eet, at, aten, gegeten
fluit, floot, floten, gefloten
ga, ging, gingen, gegaan
geld, gold, golden, gegolden
vergeet, vergat, vergaten, vergeten
geef, gaf, gaven, gegeven
giet, goot, goten, gegoten
begin, begon, begonnen
ontgin, ontgon, ontgonnen
glij, gleed, gleden, gegleden
glim, glom, glommen, geglommen
graaf, groef, groeven, gegraven
grijp, greep, grepen, gegrepen
hang, hing, hingen, gehangen
heb, had, hadden, gehad
hef, hief, hieven, geheven
help, hielp, hielpen, geholpen
hijs, hees, hezen, gehesen
houd, hield, hielden, gehouden
houw, hieuw, hieuwen, gehouwen
jaag, joeg, joegen
kies, koos, kozen, gekozen
uitverkies, verkoor uit, verkoren uit, uitverkoren
kijk, keek, keken, gekeken
kijf, keef, keven, gekeven
klim, klom, klommen, geklommen
klink, klonk, klonken, geklonken
kluif, kloof, kloven, gekloven
knijp, kneep, knepen, geknepen
kom, kwam, komen, gekomen
koop, kocht, kochten, gekocht
krijg, kreeg, kregen, gekregen
krijt, kreet, kreten, gekreten
krimp, kromp, krompen, gekrompen
kruip, kroop, kropen, gekropen
kan, kon, konden, gekund
kwijt, kweet, kweten, gekweten
laat, liet, lieten, gelaten
lees, las, lazen, gelezen
lieg, loog, logen, gelogen
verlies, verloor, verloren, verloren
lig, lag, lagen, gelegen
lijd, leed, leden, geleden
lijk, leek, leken, geleken
loop, liep, liepen, gelopen
luik, look, loken, geloken
melk, molk, molken, gemolken
meet, mat, maten, gemeten
mijd, meed, meden, gemeden
moet, moest, moesten, gemoeten
mag, mocht, mochten, gemogen
neem, nam, namen, genomen
genees, genas, genazen, genezen
